-,-,-
910, 121, 296
955, 119, 216
915, -21, 226
1021, -46, 144
1021, -46, 144
979, 65, 178
924, 61, 211
932, 15, 202
962, -43, 264
962, -43, 264
939, 12, 266
1022, 40, 212
1083, 13, 251
1141, -29, 278
1248, 64, 272
1248, 64, 272
1425, 135, 283
1647, 155, 374
1839, 136, 386
1884, 68, 360
1816, -12, 289
1816, -12, 289
1635, 14, 215
1442, 117, 285
1311, 1, 274
1107, 23, 225
839, 124, 133
839, 124, 133
586, 253, 142
533, 403, 357
413, 82, 187
306, -196, -87
306, -196, -87
215, -153, -60
162, 2, -175
144, 101, -78
-,-,-
966, 21, 192
992, 43, 230
1000, 4, 214
1014, -32, 175
1011, -25, 190
1011, -25, 190
984, 6, 166
1020, 1, 175
1082, -7, 204
1172, -8, 208
1172, -8, 208
1328, 15, 208
1453, 77, 186
1565, 118, 270
1670, 100, 187
1706, 53, 114
1706, 53, 114
1627, 70, 181
1571, 96, 359
1450, 10, 293
1343, 0, 256
1343, 0, 256
1176, 34, 139
1054, 71, 93
1001, 133, 164
972, 127, 265
972, 127, 265
828, 69, 97
766, 60, -100
752, -15, -133
698, -63, -115
653, -41, -38
653, -41, -38
557, -47, 34
456, -64, 30
496, -89, 32
496, -89, 32
430, -35, -50
337, -114, -138
278, -181, -149
248, -76, -100
-,-,-
934, -17, 341
877, 100, 310
877, 100, 310
961, 40, 347
954, -66, 301
982, -35, 281
1071, -34, 229
1071, -34, 229
1166, -43, 222
1452, 46, 419
1704, 106, 564
1769, 87, 526
1739, 92, 520
1739, 92, 520
1673, 9, 433
1583, -45, 417
1488, 22, 465
1326, 12, 405
1171, -16, 286
1171, -16, 286
1144, 36, 273
996, 93, 295
788, 68, 199
773, 25, 183
773, 25, 183
659, 17, 260
491, 33, 252
413, 71, 163
413, 71, 163
340, 59, 53
358, 6, 40
343, -23, 111
343, -23, 111
272, -104, 46
220, -203, -34
-,-,-
938, 41, 253
933, 39, 273
965, 8, 276
965, 8, 276
970, 25, 272
936, 46, 227
939, 40, 186
939, 40, 186
990, 30, 238
1034, 32, 275
995, 15, 218
995, 15, 218
983, 27, 182
1055, 38, 177
1176, -3, 162
1275, 1, 91
1275, 1, 91
1476, 115, 80
1784, 192, 242
1912, 160, 204
1874, 243, 174
1874, 243, 174
1773, 271, 162
1655, 244, 147
1457, 190, 100
1289, 111, 89
1123, 108, -26
928, 135, -81
928, 135, -81
810, 152, 40
668, 124, 33
551, 77, -70
461, 83, -70
461, 83, -70
370, 73, -117
290, -26, -128
249, 49, -4
249, 49, -4
295, 10, -115
-,-,-
950, 94, 273
933, 76, 265
933, 76, 265
978, 103, 279
976, 80, 244
933, 65, 183
933, 65, 183
932, 58, 153
1013, 49, 192
1087, 29, 161
1145, 52, 136
1145, 52, 136
1335, 152, 245
1602, 152, 378
1794, 112, 434
1752, 109, 382
1646, 91, 317
1517, 128, 215
1517, 128, 215
1404, 89, 106
1276, 79, 43
1209, 118, 85
1100, 171, 189
1008, 161, 202
1008, 161, 202
861, 32, 55
718, 29, -22
621, 33, -44
621, 33, -44
581, 20, -8
542, 45, 0
486, 12, -8
486, 12, -8
474, 32, 50
465, 8, -7
465, 8, -7
413, -41, -73
413, -59, -165
441, -75, -168
478, -75, -80
478, -75, -80
-,-,-
976, 13, 353
962, 36, 363
962, 36, 363
907, 9, 270
931, -36, 230
978, -16, 269
978, -16, 269
1024, 0, 311
1018, -10, 264
968, -61, 265
992, -36, 266
1045, 17, 115
1045, 17, 115
1198, 49, 130
1396, 52, 205
1581, 101, 285
1818, 156, 393
1838, 187, 519
1838, 187, 519
1723, 157, 455
1583, 115, 386
1470, 118, 380
1309, 109, 333
1126, 99, 238
982, 93, 189
982, 93, 189
860, 65, 195
700, 34, 85
545, -18, 3
